"OTU_ID"	"BRK01"	"BRK02"	"BRK03"	"BRK04"	"BRK05"	"BRK06"	"BRK07"	"BRK08"	"BRK09"	"BRK10"	"BRK100"	"BRK101"	"BRK102"	"BRK103"	"BRK104"	"BRK105"	"BRK106"	"BRK107"	"BRK108"	"BRK109"	"BRK11"	"BRK110"	"BRK111"	"BRK112"	"BRK113"	"BRK114"	"BRK115"	"BRK117"	"BRK118"	"BRK119"	"BRK12"	"BRK120"	"BRK121"	"BRK122"	"BRK123"	"BRK124"	"BRK125"	"BRK126"	"BRK127"	"BRK128"	"BRK129"	"BRK13"	"BRK130"	"BRK131"	"BRK132"	"BRK133"	"BRK134"	"BRK135"	"BRK14"	"BRK15"	"BRK16"	"BRK17"	"BRK18"	"BRK19"	"BRK20"	"BRK21"	"BRK22"	"BRK23"	"BRK24"	"BRK25"	"BRK26"	"BRK27"	"BRK28"	"BRK29"	"BRK30"	"BRK31"	"BRK32"	"BRK33"	"BRK34"	"BRK35"	"BRK36"	"BRK37"	"BRK38"	"BRK39"	"BRK40"	"BRK41"	"BRK42"	"BRK43"	"BRK44"	"BRK45"	"BRK46"	"BRK47"	"BRK48"	"BRK49"	"BRK50"	"BRK51"	"BRK52"	"BRK53"	"BRK54"	"BRK55"	"BRK56"	"BRK57"	"BRK58"	"BRK59"	"BRK60"	"BRK61"	"BRK62"	"BRK63"	"BRK64"	"BRK65"	"BRK66"	"BRK67"	"BRK68"	"BRK69"	"BRK70"	"BRK71"	"BRK72"	"BRK73"	"BRK74"	"BRK75"	"BRK76"	"BRK77"	"BRK78"	"BRK80"	"BRK81"	"BRK82"	"BRK83"	"BRK84"	"BRK97"	"BRK98"	"BRK99"
"OTU_19"	0	0	2	0	28	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	1	0	0	0	6	5	4	3	0	1	0	0	0	6	2	6	0	0	10	3	2	4	0	0	1	0	1	2	0	3	0	0	0	0	0	13	8	1	0	0	0	0	4	0	3	0	0	0	0	0	0	1	63	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0
"OTU_2387"	0	0	0	1	0	0	0	0	0	0	6	1	1	7	5	1	1	7	2	1	0	0	3	4	1	4	0	17	1	29	0	9	3	1	11	0	1	3	4	43	8	0	3	20	10	8	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	11	2
"OTU_3205"	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	2	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"OTU_2715"	0	6	1	1	6	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	2	2	1	2	0	0	1	0	2	1	3	0	1	0	0	1	1	2	0	1	0	0	0	7	0	0	0	4	1	1	0	1	6	0	0	1	2	0	0	0	0	0	0	1	1	0	1	1	1	0	0	2	1	0	1	0	5	12	0	2	2	0	6	0	1	0	0	0	0	0	0	0
"OTU_2702"	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	18	44	0	10	17	2	7	1	0	3	2	4	3	0	6	3	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
"OTU_2577"	0	0	0	0	0	0	0	0	0	0	7	1	4	0	5	3	0	6	2	4	0	0	1	1	2	1	0	3	2	0	0	3	0	1	0	0	1	4	8	0	1	0	2	1	9	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1
"OTU_292"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	3	2	0	1	0	0	0	0	0	1	3	8	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_2389"	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	2	0	0	0	0	0	3	1	0	0	7	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3
"OTU_2624"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	19	0	1	0	0	0	2	0	1	4	0	0	0	3	0	0	1	10	1	0	0	0	0	0	0	6	1	1	0	0	0	1	3	28	3	0	0	1	0	5	0	0	0	0	0	6	0	0	0
"OTU_2994"	0	0	0	0	0	0	0	0	0	0	4	0	3	2	1	1	0	1	0	5	0	0	0	0	1	2	0	0	1	0	0	3	0	2	0	5	1	2	2	1	0	1	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
"OTU_1544"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	38	0	15	0	19	0	8	3	0	0	0	15	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	24	0	0	0	0	0	0
