#OTU ID	BRK01	BRK02	BRK03	BRK04	BRK05	BRK06	BRK07	BRK09	BRK10	BRK11	BRK12	BRK13	BRK14	BRK15	BRK17	BRK18	BRK19	BRK20	BRK21	BRK22	BRK25	BRK26	BRK27	BRK28	BRK29	BRK30	BRK33	BRK34	BRK35	BRK36	BRK37	BRK38	BRK41	BRK42	BRK43	BRK44	BRK45	BRK46	BRK49	BRK50	BRK51	BRK52	BRK53	BRK54	BRK57	BRK58	BRK59	BRK60	BRK62	BRK65	BRK66	BRK67	BRK69	BRK70	BRK73	BRK74	BRK75	BRK76	BRK77	BRK78	BRK81	BRK82	BRK83	BRK84	BRK85	BRK86	BRK87	BRK88
OTU_28	29	1	13	3	13	13	2	3	3	6	1	9	6	6	16	1	8	2	7	27	3	7	20	0	2	23	4	0	6	3	5	10	0	27	0	1	2	3	12	7	8	0	17	9	1	60	12	0	5	1	3	15	0	15	5	35	7	0	0	8	11	69	11	1	2	7	1	0
OTU_29	0	0	0	0	0	0	0	0	0	11	0	1	51	6	2	3	34	0	1	61	3	3	10	4	0	10	0	1	0	2	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_30	0	0	0	0	0	0	19	6	9	0	0	49	10	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3	0	5	0	39	49	0	0	14	0	12	0	1	61	0	26	14	1	17	2	7	19	19	1	22	4	0	12	0	1
OTU_31	0	0	0	1	11	5	7	2	2	0	1	13	2	14	0	0	0	0	13	3	0	3	6	1	11	24	0	1	0	6	10	4	1	24	0	0	5	44	2	0	0	0	24	5	0	0	10	0	3	0	0	3	0	14	5	0	8	0	3	7	10	2	8	0	1	8	0	0
OTU_32	0	0	0	0	1	3	0	1	6	1	0	0	4	10	1	21	0	1	4	6	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	6	2	8	1	2	19	3	4	8	0	0	6	0	0
OTU_33	31	10	13	3	38	17	67	19	9	5	2	56	11	16	5	9	4	7	25	8	19	92	67	15	10	240	12	9	6	15	21	16	19	10	9	6	4	39	37	8	79	1	7	67	14	6	6	19	10	7	5	4	0	16	44	2	6	8	2	29	16	2	51	22	6	4	0	0
OTU_34	63	3	13	0	2	0	2	18	12	2	1	12	2	1	18	5	12	0	11	3	21	19	13	2	0	2	11	28	5	5	8	0	5	5	5	0	4	0	25	8	16	0	4	6	5	5	4	0	1	24	4	4	0	7	9	2	3	5	1	1	6	4	8	4	0	1	0	0
OTU_35	58	5	9	7	233	2	12	6	34	20	2	4	1	3	23	391	9	0	5	3	21	7	586	1	6	5	10	25	37	9	425	17	36	281	14	1	8	2	12	10	10	0	186	408	10	7	7	0	1	18	0	4	0	7	879	34	5	1	1	1	168	8	4	1	0	0	0	1
OTU_36	0	0	0	0	0	4	1	32	25	47	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	17	16	2	0	11	5	60	44	27	42	15	9	42	5	12	0	0	1	0
OTU_37	0	0	0	0	0	9	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	9	40	12	0	6	9	65	1	6	2	6	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_38	29	3	10	0	3	0	1	6	2	2	0	3	0	0	14	1	2	0	4	0	9	4	3	0	3	3	3	12	0	2	0	1	25	0	0	0	0	1	29	4	2	0	0	5	7	1	0	1	0	9	0	0	0	1	0	1	1	2	0	0	1	1	0	1	0	0	0	0
OTU_39	0	0	0	0	0	0	0	0	0	2	0	1	1	2	1	27	2	0	2	2	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	4	6	1	1	32	0	6	0	1	4	0	21	8	1	21	1	0	2	18	5	9	0	0	3	0	1
OTU_40	21	6	6	1	1	1	1	5	27	10	0	2	0	0	16	3	24	0	14	1	7	28	5	0	6	1	17	47	0	6	1	0	18	2	5	0	5	0	21	9	3	0	0	2	6	1	3	0	0	14	8	1	0	3	1	6	1	4	0	0	2	7	2	7	0	0	0	0
OTU_41	0	0	0	0	0	0	0	0	3	20	4	18	8	43	11	96	31	0	18	38	24	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	20	37	0	27	47	3	34	111	1	25	13	5	114	0	90	17	17	73	4	6	40	56	33	33	10	2	28	0	0
OTU_42	13	8	3	2	6	3	4	3	3	1	1	20	0	9	7	2	7	1	13	0	4	22	9	1	2	2	1	3	2	1	1	2	3	2	12	0	1	8	10	10	25	0	0	3	3	4	2	0	0	10	1	1	0	8	0	6	3	2	0	2	1	6	13	6	2	3	0	0
OTU_43	92	52	6	11	27	1	1	6	33	12	1	45	1	7	21	13	14	0	83	4	16	385	52	3	23	3	33	451	5	25	10	1	12	100	19	0	83	2	49	23	22	0	7	31	7	44	2	1	2	15	0	3	0	30	6	17	6	8	1	2	46	16	32	5	1	0	0	1
OTU_44	11	0	1	4	26	3	4	2	10	10	0	5	0	6	4	10	5	0	3	2	3	6	9	0	3	2	4	2	10	1	16	2	1	60	11	0	4	5	5	2	2	0	13	16	0	6	14	0	1	2	1	9	0	29	19	9	21	0	0	4	20	9	20	0	2	6	0	0
OTU_45	0	0	40	0	0	0	0	0	0	0	0	0	0	0	72	27	34	0	22	29	81	5	18	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_46	0	0	0	0	0	0	0	0	0	21	0	2	51	9	8	0	52	0	4	141	6	0	17	1	0	8	0	2	1	5	1	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
OTU_47	0	0	9	0	5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	18	0	10	54	9	18	0	0	4	27	30	7	0	2	8	51	3	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_48	14	0	4	0	0	0	0	10	0	1	0	0	0	1	4	0	2	0	0	2	2	0	1	0	1	0	7	1	0	0	0	0	2	0	0	0	0	0	3	0	5	0	1	0	0	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	2	0	0	0	0	0	0
