OTU_ID	BRK01	BRK02	BRK03	BRK04	BRK05	BRK06	BRK07	BRK08	BRK09	BRK10	BRK11	BRK12	BRK13	BRK14	BRK15	BRK16	BRK17	BRK18	BRK19	BRK20	BRK21	BRK22	BRK23	BRK24	BRK25	BRK26	BRK27	BRK28	BRK29	BRK30	BRK31	BRK32	BRK33	BRK34	BRK35	BRK36	BRK37	BRK38	BRK39	BRK40	BRK41	BRK42	BRK43	BRK44	BRK45	BRK46	BRK47	BRK48	BRK49	BRK50	BRK51	BRK52	BRK53	BRK54	BRK55	BRK56	BRK57	BRK58	BRK59	BRK60	BRK61	BRK62	BRK63	BRK64	BRK65	BRK66	BRK67	BRK68	BRK69	BRK70	BRK71	BRK72	BRK73	BRK74	BRK75	BRK76	BRK77	BRK78	BRK80	BRK81	BRK82	BRK83	BRK84	BRK85	BRK86	BRK87	BRK88	BRK89	BRK90	BRK91	BRK92	BRK93	BRK94	BRK95	BRK96
OTU_3952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	1	3	3	1	3	2	0	0	0	0	0	0	0	0
OTU_3953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	1	4	10	3	2	6	0	0	0	0	0	0	0	0
OTU_3954	2	8	10	11	10	10	15	15	1	3	1	2	3	0	1	0	0	0	0	0	0	0	2	0	2	2	2	6	5	5	2	1	0	2	0	1	2	4	2	4	1	1	1	1	0	1	0	1	1	10	11	5	4	1	7	5	0	1	2	2	0	5	2	2	4	6	1	8	6	8	9	13	0	0	0	0	0	0	0	0	3	1	5	0	3	2	3	0	0	0	0	0	0	0	0
OTU_3955	34	36	56	29	31	40	29	35	0	0	0	1	1	3	0	0	4	10	6	5	9	5	9	5	15	15	14	24	13	12	17	11	37	41	18	41	34	47	57	58	0	0	0	0	0	0	0	0	18	14	8	11	13	10	11	10	0	7	3	3	2	6	1	1	24	12	27	42	31	40	43	29	4	36	3	16	1	8	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_3956	0	0	1	2	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3957	9	3	12	4	1	4	4	7	0	1	0	0	0	0	0	1	2	9	4	5	5	4	5	3	1	1	1	4	4	1	5	2	2	6	1	5	6	2	5	3	14	9	14	11	10	7	6	11	3	2	3	1	2	1	1	1	0	1	0	0	1	0	0	0	11	1	13	7	8	5	12	8	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
OTU_3958	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	39	52	18	14	32	22	64
OTU_3959	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	1	0	0	1	0	0	39	26	29	48	31	39	51	24	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
OTU_3960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	5	5	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3961	0	0	0	0	0	0	0	0	6	4	7	17	26	6	4	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
